Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,66.750999,67.871002,66.195503,67.806503,67.806503,32062000
2020-05-15,67.500000,68.723999,66.949997,68.659500,68.659500,34154000
2020-05-18,68.087502,69.616249,67.712502,69.196999,69.196999,36448000
2020-05-19,69.349854,69.599998,68.674248,68.674248,68.674248,25612000
2020-05-20,69.478996,70.521004,69.362503,70.335999,70.335999,33108000
2020-05-21,70.400002,70.774498,69.672501,70.139999,70.139999,27700000
2020-05-22,69.835503,70.638000,69.591499,70.521004,70.521004,26188000
2020-05-26,71.863503,72.050003,70.606499,70.850998,70.850998,41212000
2020-05-27,70.862503,71.086998,69.564499,70.891998,70.891998,33716000
2020-05-28,69.843002,72.042000,69.800003,70.836502,70.836502,33844000
2020-05-29,70.847000,71.628502,70.667503,71.445999,71.445999,36418000
2020-06-01,70.919502,71.898003,70.900002,71.591003,71.591003,24342000
2020-06-02,71.527496,71.980499,70.941498,71.960999,71.960999,25562000
2020-06-03,71.915001,72.327599,71.488853,71.819000,71.819000,25124000
2020-06-04,71.519997,71.947998,70.236504,70.609001,70.609001,29686000
2020-06-05,70.658501,72.252502,70.300003,71.919502,71.919502,34698000
2020-06-08,71.116997,72.399498,71.116997,72.330498,72.330498,28084000
2020-06-09,72.267998,73.400002,72.160500,72.807999,72.807999,28184000
2020-06-10,72.976997,73.712952,72.813499,73.292503,73.292503,30504000
2020-06-11,72.124001,72.723747,70.099998,70.192001,70.192001,39826000
2020-06-12,71.424500,71.849998,69.301003,70.658997,70.658997,38928000
2020-06-15,69.540001,71.239998,69.396004,70.992500,70.992500,30078000
2020-06-16,72.261002,72.750999,71.294998,72.136002,72.136002,34184000
2020-06-17,72.358002,73.000000,71.569000,72.556000,72.556000,30992000
2020-06-18,72.458000,72.570503,71.350502,71.797997,71.797997,31638000
2020-06-19,72.199997,72.389999,71.067497,71.585999,71.585999,63158000
2020-06-22,71.449997,72.637497,71.160500,72.593002,72.593002,30848000
2020-06-23,72.781998,73.797050,72.262001,73.220497,73.220497,28596000
2020-06-24,73.075500,73.771004,71.487503,71.598503,71.598503,35120000
2020-06-25,71.495003,72.144997,71.000000,72.066498,72.066498,24610000
2020-06-26,71.569504,71.672501,67.599503,67.995003,67.995003,85354000
2020-06-29,67.908997,69.779999,67.350502,69.748497,69.748497,36204000
2020-06-30,69.522003,70.932503,69.197998,70.680496,70.680496,40848000
2020-07-01,70.555000,72.150002,70.490997,71.902000,71.902000,35504000
2020-07-02,72.347000,74.147499,72.320999,73.235001,73.235001,37182000
2020-07-06,74.002998,75.329498,73.642998,74.785004,74.785004,31280000
2020-07-07,74.500000,75.839996,74.177498,74.259003,74.259003,29164000
2020-07-08,74.716003,75.293999,74.281502,74.800003,74.800003,24994000
2020-07-09,75.322502,76.136002,74.404251,75.549500,75.549500,28466000
2020-07-10,75.307503,77.191498,74.827003,77.086998,77.086998,37126000
2020-07-13,77.500000,78.856598,75.262154,75.567001,75.567001,36928000
2020-07-14,74.515503,76.147499,74.175003,76.028999,76.028999,31700000
2020-07-15,76.156502,76.766502,74.900002,75.681999,75.681999,32214000
2020-07-16,75.000000,75.934502,74.315498,75.900002,75.900002,30386000
2020-07-17,76.081001,76.171997,74.920998,75.777496,75.777496,29134000
2020-07-20,75.763000,78.514503,75.180000,78.286003,78.286003,31146000
2020-07-21,79.349503,79.349503,77.713997,77.920998,77.920998,24324000
2020-07-22,78.025002,78.500000,77.305000,78.424500,78.424500,18640000
2020-07-23,78.348503,78.593498,75.369598,75.783997,75.783997,32552000
2020-07-24,74.946503,75.881798,74.419998,75.593498,75.593498,30880000
2020-07-27,75.779999,77.048500,75.760498,76.510002,76.510002,24920000
2020-07-28,76.259003,76.323997,74.883003,75.016998,75.016998,34044000
2020-07-29,75.316002,76.562599,75.066498,76.100998,76.100998,22130000
2020-07-30,74.849998,76.893501,74.611000,76.572502,76.572502,33428000
2020-07-31,75.250504,75.447502,72.701500,74.148003,74.148003,68798000
2020-08-03,74.332001,74.523499,73.281998,73.722504,73.722504,46604000
2020-08-04,73.828499,74.278000,72.932503,73.248497,73.248497,38070000
2020-08-05,73.464996,74.120499,73.172997,73.680496,73.680496,39590000
2020-08-06,73.587502,75.119499,73.300003,75.004997,75.004997,39908000
2020-08-07,75.000000,75.842247,74.082001,74.724503,74.724503,31556000
2020-08-10,74.359001,75.203751,73.653999,74.805000,74.805000,25786000
2020-08-11,74.622002,75.500000,73.900002,74.015999,74.015999,29088000
2020-08-12,74.278999,75.619301,74.262497,75.331001,75.331001,28740000
2020-08-13,75.516998,76.862503,75.400253,75.922501,75.922501,29104000
2020-08-14,75.782997,76.095001,75.143997,75.386497,75.386497,27096000
2020-08-17,75.733498,76.280502,75.398499,75.899002,75.899002,27566000
2020-08-18,76.308998,78.123497,76.185501,77.930000,77.930000,40542000
2020-08-19,77.665497,78.683998,77.197502,77.376503,77.376503,33212000
2020-08-20,77.172501,79.293503,76.910004,79.087502,79.087502,34138000
